Retailer Code	Invoice Date	Invoice Amount
A002	02/02/2025	 54.000.000,00 
E009	29/10/2024	 18.000.000,00 
E014	08/11/2024	 4.951.000,00 
E043	05/11/2024	 6.900.000,00 
A007	18/12/2024	 4.500.000,00 
E002	14/11/2024	 9.600.000,00 
E012	21/12/2024	 1.100.000,00 
E038	28/12/2024	 6.540.000,00 
E021	21/12/2024	 9.800.000,00 
U007	16/06/2023	 3.400.000,00 
E008	01/01/2025	 5.898.000,00 
E028	11/06/2024	 8.089.000,00 
A015	04/06/2024	 13.900.000,00 
E017	30/11/2024	 9.600.000,00 
A018	29/06/2023	 552.300.000,00 
E001	03/09/2023	 74.000.000,00 
E051	26/06/2023	 2.400.000,00 
E015	09/05/2023	 65.000.000,00 
E022	05/03/2023	 180.600.000,00 
E003	28/10/2024	 16.000.000,00 
E021	24/12/2024	 58.000.000,00 
U004	21/12/2024	 89.400.000,00 
U003	23/11/2024	 9.870.000,00 
E029	27/01/2025	 7.000.000,00 
E018	31/10/2024	 8.700.000,00 
E034	24/08/2024	 8.700.000,00 
A001	01/01/2025	 89.000.000,00 
A005	20/12/2024	 6.500.000,00 
E027	24/11/2024	 69.000.000,00 
E019	26/10/2024	 7.800.000,00 
A021	05/11/2024	 1.150.000,00 
E024	12/06/2024	 35.000.000,00 
A009	04/05/2024	 7.400.000,00 
E004	30/05/2024	 8.700.000,00 
E011	05/06/2024	 6.900.000,00 
U001	28/05/2024	 5.890.000,00 
E016	01/01/2025	 8.500.000,00 
E033	26/07/2023	 24.000.000,00 
A021	14/03/2023	 3.590.000,00 
U009	29/08/2024	 8.538.000,00 
E002	02/08/2024	 8.020.000,00 
A005	24/02/2023	 2.311.000,00 
E021	15/05/2024	 2.700.000,00 
A015	15/05/2024	 9.400.000,00 
A018	30/05/2024	 3.515.000,00 
U004	28/11/2024	 1.962.000,00 
E018	05/06/2024	 4.009.000,00 
E027	24/11/2024	 5.857.000,00 
A021	21/06/2024	 9.191.000,00 
E002	02/09/2024	 9.787.000,00 
E024	24/11/2024	 1.691.000,00 
E002	26/11/2024	 3.307.000,00 
E015	28/11/2024	 3.185.000,00 
E018	30/11/2024	 7.074.000,00 
E019	02/12/2024	 4.656.000,00 
A021	04/12/2024	 11.210.000,00 
A009	06/12/2024	 11.350.000,00 
A009	08/12/2024	 7.699.000,00 
E004	10/12/2024	 5.800.000,00 
E011	12/12/2024	 8.689.000,00 
U001	14/12/2024	 6.500.000,00 
E016	16/12/2024	 6.900.000,00 
E033	18/12/2024	 8.100.000,00 
A021	20/12/2024	 8.640.000,00 
E021	22/12/2024	 10.411.000,00 
U007	24/12/2024	 1.100.000,00 
E008	26/12/2024	 3.125.000,00 
A005	28/12/2024	 3.600.000,00 
E021	06/03/2023	 9.396.000,00 
E008	01/01/2025	 11.413.000,00 
E028	03/01/2025	 87.600.000,00 
A015	05/01/2025	 195.000.000,00 
E017	17/03/2024	 96.000.000,00 
A018	09/12/2024	 7.889.000,00 
E001	11/12/2024	 1.521.000,00 
U007	17/03/2024	 482.807.000,00 
E003	15/12/2024	 2.500.000,00 
E021	17/12/2024	 8.500.000,00 
